,name,without_disc,keke_disc,price,discounted_price,discount_percentage,url,group_number
0,16429349 rem-watch-LUX-42/44/черный,791,15,1978,672,66,https://www.wildberries.ru/catalog/16429349/detail.aspx?,0
1,37078649 AQSA-LUX-42/44/черный,729,15,1519,618,59,https://www.wildberries.ru/catalog/37078649/detail.aspx?,0
2,29798477 Brono Mo-LUX-42/44/черный,1008,15,2800,856,69,https://www.wildberries.ru/catalog/29798477/detail.aspx?,0
3,16429348 rem-watch-LUX-42/44/серебристый,700,15,2002,595,70,https://www.wildberries.ru/catalog/16429348/detail.aspx?,1
4,37078651 AQSA-LUX-42/44/серебристый,536,10,1451,483,66,https://www.wildberries.ru/catalog/37078651/detail.aspx?,1
5,29798479 Brono Mo-LUX-42/44/серебристый,868,15,2800,737,73,https://www.wildberries.ru/catalog/29798479/detail.aspx?,1
6,17211534 rem-watch-LUX-42/44/розовый,700,15,2000,595,70,https://www.wildberries.ru/catalog/17211534/detail.aspx?,2
7,37078650 AQSA-LUX-42/44/розовый,567,10,1455,510,64,https://www.wildberries.ru/catalog/37078650/detail.aspx?,2
8,29798481 Brono Mo-LUX-42/44/розовый,1008,15,2800,856,69,https://www.wildberries.ru/catalog/29798481/detail.aspx?,2
9,26056212 rem-watch-LUX-42/44/перламутровый,696,15,2112,592,71,https://www.wildberries.ru/catalog/26056212/detail.aspx?,3
10,40718522 Brono Mo -LUX-42/44/перламутровый,1008,15,2800,856,69,https://www.wildberries.ru/catalog/40718522/detail.aspx?,3
11,32246655 rem-watch-LUX-42/44/серебристо-пудровый,700,15,2000,595,70,https://www.wildberries.ru/catalog/32246655/detail.aspx?,4
12,40718523 Brono Mo -LUX-42/44/ серебристо-пудровый,1008,15,2800,856,69,https://www.wildberries.ru/catalog/40718523/detail.aspx?,4
13,16429347 rem-watch-LUX-38/40/черный,748,15,2200,635,71,https://www.wildberries.ru/catalog/16429347/detail.aspx?,5
14,37077392  AQSA-LUX-38/40/черный,670,15,1490,569,61,https://www.wildberries.ru/catalog/37077392/detail.aspx?,5
